#Coverage	Number of genomic locations
0.0	3.09556391E9
1.0	1005.0
2.0	1620.0
3.0	1527.0
4.0	2469.0
5.0	1487.0
6.0	3686.0
7.0	871.0
8.0	2272.0
9.0	744.0
10.0	2821.0
11.0	972.0
12.0	1931.0
13.0	837.0
14.0	2968.0
15.0	1262.0
16.0	2318.0
17.0	846.0
18.0	1698.0
19.0	919.0
20.0	1431.0
21.0	907.0
22.0	2291.0
23.0	738.0
24.0	1335.0
25.0	659.0
26.0	1328.0
27.0	613.0
28.0	2000.0
29.0	506.0
30.0	1597.0
31.0	570.0
32.0	1084.0
33.0	497.0
34.0	1323.0
35.0	1304.0
36.0	1002.0
37.0	666.0
38.0	2132.0
39.0	742.0
40.0	1386.0
41.0	485.0
42.0	735.0
43.0	636.0
44.0	1020.0
45.0	515.0
46.0	1090.0
47.0	747.0
48.0	1583.0
49.0	791.0
50.0	1118.0
51.0	773.0
52.0	1820.0
53.0	776.0
54.0	1010.0
55.0	909.0
56.0	1113.0
57.0	829.0
58.0	977.0
59.0	342.0
60.0	818.0
61.0	699.0
62.0	731.0
63.0	702.0
64.0	677.0
65.0	470.0
66.0	987.0
67.0	603.0
68.0	986.0
69.0	790.0
70.0	1364.0
71.0	462.0
72.0	648.0
73.0	652.0
74.0	378.0
75.0	299.0
76.0	555.0
77.0	787.0
78.0	971.0
79.0	430.0
80.0	820.0
81.0	344.0
82.0	537.0
83.0	447.0
84.0	605.0
85.0	513.0
86.0	716.0
87.0	419.0
88.0	474.0
89.0	358.0
90.0	906.0
91.0	610.0
92.0	775.0
93.0	216.0
94.0	661.0
95.0	527.0
96.0	403.0
97.0	252.0
98.0	505.0
99.0	283.0
100.0	292.0
101.0	518.0
102.0	348.0
103.0	299.0
104.0	503.0
105.0	416.0
106.0	304.0
107.0	253.0
108.0	503.0
109.0	227.0
110.0	629.0
111.0	386.0
112.0	425.0
113.0	413.0
114.0	744.0
115.0	289.0
116.0	342.0
117.0	509.0
118.0	501.0
119.0	196.0
120.0	137.0
121.0	420.0
122.0	257.0
123.0	358.0
124.0	146.0
125.0	443.0
126.0	373.0
127.0	95.0
128.0	194.0
129.0	315.0
130.0	165.0
131.0	240.0
132.0	306.0
133.0	198.0
134.0	101.0
135.0	260.0
136.0	391.0
137.0	413.0
138.0	538.0
139.0	275.0
140.0	189.0
141.0	155.0
142.0	277.0
143.0	230.0
144.0	166.0
145.0	155.0
146.0	127.0
147.0	201.0
148.0	145.0
149.0	193.0
150.0	294.0
151.0	310.0
152.0	270.0
153.0	232.0
154.0	106.0
155.0	278.0
156.0	527.0
157.0	109.0
158.0	218.0
159.0	99.0
160.0	215.0
161.0	359.0
162.0	125.0
163.0	405.0
164.0	244.0
165.0	38.0
166.0	25.0
167.0	88.0
168.0	212.0
169.0	306.0
170.0	178.0
171.0	188.0
172.0	167.0
173.0	75.0
174.0	185.0
175.0	207.0
176.0	41.0
177.0	292.0
178.0	256.0
179.0	261.0
180.0	83.0
181.0	131.0
182.0	85.0
183.0	119.0
184.0	63.0
185.0	37.0
186.0	87.0
187.0	164.0
188.0	308.0
189.0	87.0
190.0	39.0
191.0	115.0
192.0	179.0
193.0	90.0
194.0	80.0
195.0	86.0
196.0	84.0
197.0	66.0
198.0	99.0
199.0	191.0
200.0	377.0
201.0	157.0
202.0	93.0
203.0	61.0
204.0	25.0
205.0	23.0
206.0	47.0
207.0	67.0
208.0	84.0
209.0	127.0
210.0	110.0
211.0	209.0
212.0	105.0
213.0	17.0
214.0	31.0
215.0	13.0
216.0	11.0
217.0	14.0
218.0	13.0
219.0	20.0
220.0	38.0
221.0	30.0
222.0	200.0
223.0	46.0
224.0	191.0
225.0	17.0
226.0	13.0
227.0	40.0
228.0	68.0
229.0	50.0
230.0	64.0
231.0	89.0
232.0	39.0
233.0	62.0
234.0	127.0
235.0	249.0
236.0	119.0
237.0	171.0
238.0	180.0
239.0	161.0
240.0	205.0
241.0	74.0
242.0	53.0
243.0	136.0
244.0	173.0
245.0	37.0
246.0	26.0
247.0	93.0
248.0	51.0
249.0	69.0
250.0	6.0
251.0	31.0
252.0	18.0
253.0	42.0
254.0	43.0
255.0	143.0
256.0	45.0
257.0	32.0
258.0	67.0
259.0	22.0
260.0	31.0
262.0	16.0
263.0	7.0
264.0	2.0
265.0	18.0
266.0	11.0
267.0	26.0
268.0	5.0
269.0	37.0
270.0	25.0
271.0	20.0
272.0	7.0
273.0	6.0
274.0	9.0
275.0	2.0
276.0	6.0
277.0	5.0
278.0	6.0
279.0	3.0
280.0	2.0
281.0	4.0
282.0	11.0
283.0	13.0
284.0	18.0
285.0	35.0
286.0	78.0
287.0	12.0
288.0	21.0
289.0	40.0
290.0	75.0
291.0	88.0
292.0	28.0
293.0	26.0
294.0	1.0
295.0	5.0
296.0	7.0
297.0	3.0
298.0	10.0
299.0	12.0
300.0	2.0
301.0	2.0
302.0	7.0
303.0	9.0
304.0	5.0
305.0	19.0
306.0	40.0
307.0	23.0
308.0	22.0
309.0	13.0
310.0	63.0
311.0	28.0
312.0	12.0
313.0	2.0
314.0	2.0
315.0	28.0
316.0	6.0
317.0	39.0
318.0	11.0
319.0	10.0
320.0	11.0
321.0	14.0
322.0	6.0
323.0	18.0
324.0	29.0
325.0	70.0
326.0	17.0
327.0	20.0
328.0	2.0
329.0	3.0
330.0	6.0
331.0	11.0
332.0	28.0
333.0	16.0
334.0	94.0
335.0	10.0
336.0	2.0
337.0	30.0
338.0	32.0
339.0	17.0
340.0	2.0
341.0	3.0
342.0	2.0
343.0	2.0
344.0	9.0
345.0	1.0
346.0	19.0
347.0	3.0
349.0	1.0
350.0	4.0
351.0	3.0
352.0	3.0
353.0	3.0
354.0	5.0
355.0	3.0
356.0	11.0
357.0	8.0
358.0	14.0
359.0	116.0
360.0	51.0
361.0	40.0
362.0	137.0
363.0	158.0
364.0	28.0
365.0	4.0
366.0	15.0
367.0	38.0
368.0	62.0
370.0	1.0
371.0	3.0
373.0	10.0
375.0	3.0
381.0	1.0
382.0	15.0
383.0	39.0
384.0	8.0
385.0	2.0
386.0	7.0
387.0	3.0
388.0	3.0
389.0	2.0
390.0	6.0
391.0	31.0
392.0	6.0
393.0	4.0
394.0	1.0
395.0	7.0
396.0	3.0
397.0	3.0
398.0	3.0
399.0	2.0
400.0	3.0
401.0	15.0
402.0	13.0
403.0	13.0
404.0	48.0
405.0	22.0
406.0	6.0
407.0	3.0
413.0	1.0
418.0	5.0
419.0	1.0
420.0	1.0
421.0	1.0
422.0	3.0
423.0	1.0
425.0	1.0
426.0	2.0
427.0	1.0
428.0	8.0
429.0	4.0
430.0	3.0
431.0	4.0
432.0	2.0
433.0	3.0
434.0	1.0
435.0	3.0
436.0	4.0
439.0	2.0
440.0	6.0
442.0	1.0
443.0	2.0
446.0	1.0
447.0	1.0
449.0	16.0
450.0	1.0
451.0	38.0
452.0	64.0
453.0	28.0
463.0	4.0
465.0	1.0
466.0	1.0
473.0	2.0
478.0	1.0
483.0	1.0
484.0	1.0
487.0	1.0
489.0	2.0
490.0	2.0
493.0	1.0
495.0	1.0
499.0	1.0
501.0	2.0
502.0	1.0
504.0	1.0
505.0	1.0
506.0	1.0
508.0	2.0
509.0	2.0
510.0	2.0
511.0	1.0
513.0	1.0
514.0	1.0
516.0	1.0
519.0	2.0
520.0	1.0
521.0	2.0
522.0	4.0
523.0	6.0
524.0	1.0
525.0	15.0
526.0	28.0
527.0	73.0
528.0	57.0
529.0	20.0
530.0	9.0
531.0	14.0
893.0	11.0
894.0	45.0
