#Insert size (bp)	insert size
44.0	1.0
85.0	1.0
153.0	4.0
185.0	2.0
190.0	1.0
198.0	1.0
203.0	1.0
204.0	2.0
207.0	1.0
211.0	1.0
212.0	1.0
216.0	1.0
218.0	1.0
223.0	5.0
225.0	1657.0
226.0	723.0
227.0	989.0
228.0	291.0
229.0	776.0
230.0	378.0
231.0	667.0
232.0	514.0
233.0	345.0
234.0	63.0
235.0	373.0
236.0	113.0
237.0	309.0
238.0	271.0
239.0	608.0
240.0	89.0
241.0	349.0
242.0	334.0
243.0	577.0
244.0	19.0
245.0	556.0
246.0	37.0
247.0	664.0
248.0	52.0
249.0	704.0
250.0	250.0
251.0	85.0
252.0	208.0
253.0	405.0
254.0	60.0
255.0	477.0
256.0	53.0
257.0	490.0
258.0	3.0
259.0	204.0
260.0	214.0
261.0	429.0
262.0	49.0
263.0	633.0
264.0	73.0
265.0	423.0
266.0	200.0
267.0	452.0
268.0	155.0
269.0	522.0
270.0	197.0
271.0	572.0
272.0	305.0
273.0	754.0
274.0	329.0
275.0	1144.0
276.0	4.0
394.0	1.0
398.0	2.0
400.0	1.0
503.0	2.0
504.0	5.0
517.0	8.0
518.0	2.0
523.0	7.0
524.0	2.0
525.0	1.0
526.0	3.0
527.0	16.0
528.0	7.0
529.0	3.0
