"CDR017-DIL"	"CDR025"	"CDR021"	"CDR029-DIL"	"CDR022"	"CDR018"	"CDR026-DIL"	"CDR030-DIL"	"CDR031-DIL"	"CDR023"	"CDR027-DIL"	"CDR019"	"CDR020"	"CDR028-DIL"	"CDR032-DIL"	"CDR024"
"ILMN_1248788"	207.38165625	250.11290625	221.9986125	252.718175	246.3669	201.05835625	267.13753125	214.2343125	199.29734375	219.72244375	236.796525	194.6496125	211.83433125	207.8115125	221.9986125	171.3909
"ILMN_2896528"	10069.3536875	9936.6240625	9839.07575	12435.84	11339.6023125	10165.8596875	8948.2579375	12255.4739375	11542.181125	10615.614375	10615.614375	9511.48625	10028.724375	10885.485125	12435.84	9029.38475
"ILMN_2721178"	2146.17425	2037.483125	2084.294625	2705.3735625	2556.7989375	2216.556375	2155.87075	2497.0566875	2713.513	2166.2265	2072.523875	2022.4721875	2078.4186875	2354.48075	2724.67725	2376.677125
"ILMN_1227723"	1138.998875	1089.68374375	927.3898375	927.3898375	1274.3487	1081.4379875	1151.0470375	924.120075	1107.67528125	1202.76246875	1136.6648125	1050.24421875	1172.46564375	1149.43653125	976.43411875	1114.94431875
"ILMN_3033922"	1855.76675	1797.0263125	1855.76675	1799.6424375	2099.771	1891.157125	1771.0535625	1870.0569375	1791.22925	1911.486125	1722.9694375	1836.439375	1891.157125	1859.828	1949.178875	1739.1569375
"ILMN_3092673"	8047.471875	7507.8775625	7601.73825	7321.8260625	8452.9129375	8237.6955	6723.2856875	7943.6365	8237.6955	8452.9129375	7601.73825	8150.200625	7479.230875	8047.471875	8237.6955	7479.230875
"ILMN_2730714"	12255.4739375	12136.5934375	12435.84	11435.2999375	13172.297875	11891.49075	11733.567375	10885.485125	11891.49075	12753.743875	11733.567375	12022.1184375	12136.5934375	11891.49075	11339.6023125	13513.015
"ILMN_3162224"	2827.7445625	2997.8144375	2827.7445625	2614.077125	2930.197	2943.34825	2943.34825	2724.67725	3147.1090625	2989.498	2918.745375	2674.5666875	2930.197	2867.9606875	2876.7545	2918.745375
"ILMN_2816356"	206.86939375	192.75574375	217.5735625	185.1210875	176.90374375	202.4345375	169.13246875	170.8125875	175.18576875	168.40875625	171.3909	177.3205375	177.462375	205.100125	167.4655125	184.16316875
"ILMN_2634564"	580.90806875	578.90990625	551.37678125	616.66825	733.2854375	650.46941875	599.761	554.9542375	509.63761875	608.093875	627.34338125	621.7679875	525.1207875	574.73696875	590.05653125	639.13488125
"ILMN_1216623"	695.53653125	666.07275	777.27234375	748.7588125	886.03111875	785.1105625	690.5415875	733.2854375	681.76365625	838.76995	736.55418125	736.55418125	674.1961875	663.6307	705.98616875	779.2653
"ILMN_1215157"	811.5633125	774.34953125	893.52561875	825.71355625	1032.07013125	945.78110625	875.69781875	825.71355625	746.36065625	815.414375	880.51689375	927.3898375	775.5117	808.31851875	819.45544375	816.41575
"ILMN_2734484"	1422.125375	1662.9405	1460.8476875	1527.3249375	1455.159625	1577.6735	1652.57875	1726.885875	1876.826625	1281.13715625	1872.962125	1652.57875	1505.664625	2289.2633125	1670.214625	1408.44643125
"ILMN_2660815"	4765.8735	4553.349	4089.44975	4553.349	3701.24375	4492.6698125	4403.614	4553.349	4492.6698125	4334.681	5283.5250625	4729.1003125	4492.6698125	4765.8735	4660.884	4281.1286875
"ILMN_1243593"	6591.0685	5657.804625	6210.4018125	5772.2266875	5690.447375	6799.5575	5690.447375	5603.8941875	5740.3068125	6377.3095	5387.1456875	6962.8776875	6466.3218125	5127.310375	5875.1608125	5875.1608125
"ILMN_1219797"	395.40934375	352.2032125	347.93013125	411.7634625	412.3047375	383.61483125	321.67085	426.13781875	428.95229375	402.19800625	385.809775	366.8555625	327.28765625	414.57105	448.44150625	357.04663125
"ILMN_1231132"	1019.3040625	876.73246875	1035.1083875	1035.1083875	809.6915375	947.76564375	802.1467375	879.30458125	934.17030625	863.02495	1049.3454625	1053.60926875	846.94178125	905.71059375	945.78110625	829.13074375
"ILMN_2718462"	231.52921875	207.8115125	236.2630125	218.46124375	250.11290625	246.03025	234.09353125	233.07575625	226.8536625	254.39213125	208.31810625	227.09825	242.68321875	213.9903875	233.603175	246.59630625
"ILMN_2638061"	809.6915375	837.33126875	853.388	708.58986875	1081.4379875	901.21771875	1057.93018125	695.53653125	624.3748875	852.04090625	767.94165	777.27234375	811.5633125	692.751325	781.69595	777.27234375
"ILMN_1252243"	451.2888375	404.1772625	437.728075	372.82493125	458.2919125	467.1607875	456.8246	375.9184375	397.3154375	490.34479375	366.8555625	479.8137125	509.03734375	322.95923125	410.31115625	532.1498625
"ILMN_1213681"	1590.64425	1818.694625	2007.2110625	2535.7879375	1829.01725	1685.458625	1797.0263125	2202.8358125	1972.582	1755.344625	1936.8555625	1677.8181875	1986.81125	2011.2341875	2482.9536875	1712.9796875
"ILMN_2891688"	2160.4850625	2370.272375	2376.677125	2601.092	2179.9375625	2166.2265	2238.3295	2573.4615625	2453.9114375	2289.2633125	2383.52925	2647.688375	2150.2455	2625.8334375	2259.2845625	2119.2700625
"ILMN_2637698"	2099.771	2269.339	2310.01975	2216.556375	1920.0846875	2310.01975	2119.2700625	2198.099125	2277.43625	2216.556375	2234.3534375	2376.677125	2173.1679375	2362.171375	2331.606375	2302.7791875
"ILMN_2674228"	357.04663125	351.3019	340.85738125	297.28149375	374.20874375	367.63785625	333.84525	283.2316625	319.46595	311.4795	315.46180625	324.6985	353.69961875	252.12685	318.90009375	339.82898125
"ILMN_2758762"	144.0709875	136.03915625	121.772645625	135.57924375	169.86830625	145.761225	136.03915625	159.03290625	149.23314375	150.37110625	149.739125	142.3190875	142.50945	143.86384375	137.78745625	123.59584375
"ILMN_2932814"	713.8766125	741.6727625	735.2436125	770.86421875	691.93594375	659.7359625	713.8766125	747.50439375	725.467375	700.8844	744.6064125	605.90225	757.63383125	705.98616875	767.94165	684.94580625
"ILMN_1245467"	1895.6924375	1752.2866875	1901.829125	1812.4966875	1924.92825	1788.49725	1764.57425	1955.9444375	1866.53925	1924.92825	1733.1609375	1551.11575	1544.9056875	1627.8435625	1662.9405	1872.962125
"ILMN_1240839"	128.74994375	138.84401875	130.36976875	114.453108125	125.909375	127.41805625	126.40724375	115.7411025	106.718800625	113.525783125	117.156748125	115.10685625	105.25211625	130.0706125	119.36188375	131.16729375
"ILMN_2848071"	138.4033875	144.1759875	144.1759875	133.96085625	162.2762625	164.420575	136.5366125	137.48125	139.571175	130.0706125	135.57924375	130.673325	140.27619375	135.9188125	105.207913125	133.1910875
"ILMN_2720925"	1622.054	1528.8106875	1791.22925	1986.81125	2011.2341875	1733.1609375	1544.9056875	1891.157125	1872.962125	1840.8434375	1485.7453125	1560.761875	1499.3388125	1460.8476875	1840.8434375	1736.0078125
"ILMN_2658619"	10381.7305625	11185.0796875	9673.0278125	10765.566375	10686.61875	9936.6240625	10493.2706875	11339.6023125	11185.0796875	11185.0796875	11891.49075	10765.566375	10615.614375	10615.614375	11185.0796875	11098.6981875
"ILMN_2972403"	124.056975	128.4515375	137.9687625	136.433125	128.74994375	119.820021875	158.1595375	129.4002375	151.6387125	136.72255	107.80975375	138.20509375	112.69401375	127.81891875	137.3925375	148.6497
"ILMN_1226653"	174.764125	194.6496125	174.89948125	185.29855625	189.77638125	180.77294375	225.68436875	220.2211625	193.79353125	195.0619375	247.1646875	183.4160875	205.100125	222.58170625	195.197125	198.0223
"ILMN_2604467"	967.52325625	921.58768125	1149.43653125	1093.46354375	1125.43935625	1011.69045	999.9892375	1011.69045	1027.40008125	1151.0470375	980.09125	842.2797125	1001.74539375	1107.67528125	1199.44966875	935.4101625
"ILMN_2727437"	204.9632	207.38165625	216.8480125	245.65989375	254.69883125	223.51984375	221.3074625	202.7597125	198.2510125	214.2343125	177.67216875	233.603175	174.1694	195.0619375	173.757825	241.17445
"ILMN_2628021"	965.448975	1019.3040625	968.64079375	999.9892375	1114.94431875	1120.43725	985.8463875	953.7593875	945.78110625	1042.00929375	960.04960625	1051.49076875	1059.94405	980.09125	928.80734375	1098.0628125
"ILMN_2793281"	592.887675	587.318	531.27466875	610.14373125	560.39495	591.9939625	609.15739375	620.91896875	565.33768125	569.84161875	613.03275	540.51569375	605.90225	560.39495	581.90118125	651.891225
"ILMN_2603581"	7156.718625	7071.3248125	7256.1364375	7601.73825	7507.8775625	6998.21	7507.8775625	6998.21	7039.666875	6685.6085625	7071.3248125	7256.1364375	6799.5575	7156.718625	6998.21	6511.084625
"ILMN_2729008"	236.2630125	204.77735625	210.0105125	209.11500625	233.07575625	199.73144375	224.8225	242.38804375	226.0252	217.17126875	203.35528125	219.02440625	271.464275	233.35624375	197.4835875	201.35433125
"ILMN_1234456"	126.1241625	165.1109125	124.3063625	119.9140375	120.016961875	143.0773	155.25068125	136.2780625	120.40136625	113.984973125	142.81923125	117.718086875	129.74069375	118.953629375	106.336995	105.46888125
"ILMN_1256281"	182.93705625	179.94566875	171.7086875	167.144325	165.9051	179.18690625	169.86830625	165.9051	183.76841875	155.9893625	173.97199375	170.34245625	170.59660625	163.77671875	146.9227125	150.57566875
"ILMN_2622630"	891.9621375	1028.589375	882.18558125	879.30458125	1131.15279375	998.31044375	1016.3591125	1028.589375	875.69781875	989.583825	861.38474375	1013.32305625	974.65268125	910.59219375	913.892975	908.87373125
"ILMN_2596016"	1924.92825	1886.0055625	1936.8555625	2022.4721875	1852.93025	1967.6745	1825.944125	2091.78225	1895.6924375	1836.439375	1996.4138125	1764.57425	1755.344625	1891.157125	2011.2341875	2057.710125
"ILMN_3041584"	136.1406375	145.61169375	121.2497075	118.091490625	126.21285	121.979066875	142.20985	121.66337125	114.913556875	115.60705875	111.16054875	119.48989875	111.42138375	98.008466875	115.3305275	125.3855125
